,name,artist
615,"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet
616,Eternal Flame,The Bangles
617,Just the Way You Are,Billy Joel
618,Mandy,Barry Manilow
619,I Have Nothing,Whitney Houston
620,Now And Forever,Richard Marx
621,Time After Time,Cyndi Lauper
622,Truly Madly Deeply,Savage Garden
623,How Am I Supposed to Live Without You,Michael Bolton
624,More Than Words,Extreme
625,If You Don't Know Me by Now - 2008 Remaster,Simply Red
626,Save The Best For Last,Various Artists
627,Fields Of Gold,Sting
628,"Have You Ever Really Loved A Woman? - From ""Don Juan DeMarco"" Soundtrack",Bryan Adams
629,I Knew I Loved You,Savage Garden
630,Hungry Eyes,Various Artists
631,Tonight I Celebrate My Love,Peabo Bryson
632,Sacrifice,Elton John
633,Unchained Melody,The Righteous Brothers
634,Glory of Love,Peter Cetera
635,Hero,Enrique Iglesias
636,Nothing's Gonna Change My Love for You,George Benson
637,She's The One,Robbie Williams
638,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Various Artists
639,You're Beautiful,James Blunt
640,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion
641,"Show Me Heaven - From ""Days Of Thunder"" Soundtrack",Various Artists
642,Said I Loved You...But I Lied,Michael Bolton
643,You Are The Sunshine Of My Life,Stevie Wonder
644,Amazed,Lonestar
645,I Want to Know What Love Is - 1999 Remaster,Foreigner
646,Everything,Michael Bublé
647,Listen To Your Heart,Roxette
648,Because of You,Kelly Clarkson
649,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Various Artists
650,Fallen,Lauren Wood
651,How Deep Is Your Love (2007 Remastered Saturday Night Fever LP Version),Bee Gees
652,With Or Without You - Remastered,U2
653,Alone,Heart
654,I Swear,All-4-One
655,Always,Bon Jovi
656,I'll Never Love This Way Again,Various Artists
657,You Are The Reason,Calum Scott
658,Kiss Me,Various Artists
659,A Thousand Years,Christina Perri
660,Bed Of Roses,Bon Jovi
661,When a Man Loves a Woman,Michael Bolton
662,I Don't Want to Live Without You - 2008 Remaster,Foreigner
663,This I Promise You,*NSYNC
664,Hello,Lionel Richie
665,You're The Inspiration,Various Artists
666,To Be With You,Mr. Big
667,Breathe,Faith Hill
668,Every Breath You Take,Sting
669,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran
670,Can't Help Falling in Love,Elvis Presley
671,Someone Like You,Adele
672,I Just Called To Say I Love You - Single Version,Stevie Wonder
673,"Say You, Say Me",Lionel Richie
674,Shape of My Heart,Backstreet Boys
675,A Moment Like This,Kelly Clarkson
676,For Your Eyes Only,Sheena Easton
677,I'll Be There,The Jackson 5
678,Thinking out Loud,Ed Sheeran
679,Woman in Love,Barbra Streisand
680,Beautiful,Christina Aguilera
681,Mystery of Love,Various Artists
682,Bags,Clairo
683,we fell in love in october,girl in red
684,Love song,Lana Del Rey
685,Sparks,Coldplay
686,Lonely Shade of Blue,Nick Leng
687,Heartbeats,José González
688,Apocalypse,Cigarettes After Sex
689,I Always Wanna Die (Sometimes),The 1975
690,Dialing Drunk,Ethan Gruska
691,Tobacco Sunburst,The Neighbourhood
692,My Kind of Woman,Mac DeMarco
693,Blood Bank,Bon Iver
694,Norman fucking Rockwell,Lana Del Rey
695,Bitter Sweet Symphony,The Verve
696,beautiful baby,Elizabeth
697,Door,Caroline Polachek
698,I Must Be In Love,Aaron Taos
699,Sweater Weather,The Neighbourhood
700,K.,Cigarettes After Sex
701,9,WILLOW
702,i love you,Billie Eilish
703,New Love Cassette,Angel Olsen
704,Yellow,Coldplay
705,"Archie, Marry Me",Alvvays
