,name,artist
682,questions,jsp
683,show me love (feat. meer colon),teamarrr
684,mania,aaryan shah
685,summer sauga,hiddenhillsforever
686,i shouldn't,alex alexander
687,pace,jsp
688,slow motion,autumn corin
689,quando eu te toco,venâncio
690,ms. 305,malik english
691,so you need me now?,vaishalini
692,missing you,a!ex
693,too much,a!ex
694,side dick,avivian
695,late night thoughts,amaya santos
696,twin flame,cory jones
697,in my head,ajay!
698,play with me,rendezvous at two
699,80/20,chloe x halle
700,too many memories,loverboybass
701,drip,asiahn
702,flowers & sex,emeline
703,love is a bitch,two feet
704,first,somo
705,haunting,halsey
706,dirty mind,boy epic
707,alone with you,ashlee
708,skin,rihanna
709,do it for me,rosenfeld
710,morning,teyana taylor
711,carpet burn,chloe tang
712,sacrifice (feat. jessie reyez),various artists
713,swim,chase atlantic
714,lost in the fire (feat. the weeknd),gesaffelstein
715,still don't know my name,labrinth
716,wallflower,kimberly august
717,talking body,tove lo
718,devil eyes,hippie sabotage
719,wrong (feat. kehlani),zayn
720,i just wanna...,elijah blake
721,like u,rosenfeld
722,bedspell,zolita
723,yoko ono,mob rich
724,heaven,finneas
725,apartment,bobi andonov
726,hypnotic,zella day
727,god is a woman,ariana grande
728,girl (feat. kaytranada),the internet
729,movement,hozier
730,trust issues,drake
731,often,the weeknd
732,"or nah (feat. the weeknd, wiz khalifa & dj mustard) - remix",ty dolla $ign
733,bad intentions,niykee heaton
734,wicked games,the weeknd
735,good for you,selena gomez
736,church,chase atlantic
737,i wanna be your slave,måneskin
738,tio,zayn
739,champagne & sunshine,plvtinum
740,i want to,rosenfeld
741,not afraid anymore,halsey
742,i wanna be yours,arctic monkeys
743,woman,emmit fenn
744,neither do i,stwo
745,so high,doja cat
746,"yeah, i said it",rihanna
747,acquainted,the weeknd
748,"crazy in love - from the ""fifty shades of grey"" soundtrack",various artists
749,own it,drake
750,body,syd
751,too late,chase atlantic
752,tidal wave,chase atlantic
753,slow motion,trey songz
754,kill our way to heaven,michl
755,thousand miles,tove lo
756,gangsta,various artists
757,don't stop,blackbear
758,when we,tank
759,ride,somo
760,rumors,neffex
761,"earned it (fifty shades of grey) - from the ""fifty shades of grey"" soundtrack",the weeknd
762,belong to you (feat. 6lack),sabrina claudio
763,one way (feat. t-pain) - bonus,6lack
764,love me right,moxie knox
765,...fuck,johnny rain
766,love me right,rendezvous at two
767,candy,doja cat
768,sexual healing,azee
769,you,jacquees
770,w.e.t.,paloma ford
771,high for this,the weeknd
772,"or nah (feat. the weeknd, wiz khalifa & dj mustard) - remix",ty dolla $ign
773,paradise (feat. yung bleu),h.e.r.
774,sweat,zayn
775,wicked games,the weeknd
776,for days,rini
777,streets,doja cat
778,if you let me,alina baraz
779,come through (feat. chris brown),h.e.r.
780,living room flow - bonus,jhené aiko
781,excitement,trippie redd
782,dirty,tank
783,exchange,bryson tiller
784,want u around (feat. ruel),omar apollo
785,long nights,6lack
786,welcome to the party,partynextdoor
787,mania,aaryan shah
788,into it,chase atlantic
789,temperature rising,tory lanez
790,demon time,aaryan shah
791,more than enough,alina baraz
792,stretch you out (feat. a boogie wit da hoodie),summer walker
793,dreaming of the past,voel
794,serotonin (feat. cruz cafuné),santino le saint
795,4422,drake
796,the room,jaymie deville
797,like u,rosenfeld
798,peak (fed up),raahiim
799,i feel like i'm drowning,two feet
800,alone with you,ashlee
801,like it (with 6lack),summer walker
802,the best i ever had,limi
803,when we,tank
804,heroes,sebastian reynoso
805,belong to you (feat. 6lack),sabrina claudio
806,sine qua non,johnny rain
807,as you are,the weeknd
808,break from toronto,partynextdoor
809,aphrodite,rini
810,one way (feat. t-pain) - bonus,6lack
811,lights out,nbdy
812,use me,plaza
813,precious,arcane
814,pull up on you,sobhhï
815,wading,jhené aiko
816,relax,ozzie
817,love is a bitch,two feet
818,love & war,raahiim
819,the morning,the weeknd
820,hulu and do you (sexuation),larri jae
821,close your eyes,lisa
822,r.m.b. (rock my body) [feat. nitra nicole],kye russoul
823,do it for me,rosenfeld
824,fucking high (feat. lo),adrian daniel
825,what you need,the weeknd
826,seamless,chris grey
827,out of the blue,rini
828,la senza,luu breeze
829,no more secrets,arcane
830,outside,the weeknd
831,monte carlo,joel malka
832,...fuck,johnny rain
833,personal,plaza
834,lose face,daniel di angelo
835,knees,e. alvin
836,the zone,the weeknd
837,tonight,tcvvx
838,desire - slowed,hucci
839,bad dream/no looking back,syd
840,initiation,the weeknd
841,loveyou,dxvn.
842,can't imagine,always never
843,lights out,sonn
844,bliss,alayna
845,all the time,ye ali
846,temptations,daniel di angelo
847,slow down,chase atlantic
848,west side,11:11
849,girls need love (with drake) - remix,summer walker
850,real side,elshay
851,"yeah, i said it",rihanna
852,alive,lloyd john
853,never enough,black atlass
854,don't play,ozzie
855,wylin',always never
856,hallucinations,dvsn
857,close your eyes,black atlass
858,tonight,summer walker
859,house of balloons / glass table girls,the weeknd
860,dna,taylor belle
861,twisted,two feet
862,show me,black atlass
863,work sumn (feat. tory lanez and jacquees),kirko bangz
864,make you feel,alina baraz
865,i fucking lust you,d'african
866,exchange,bryson tiller
867,slow motion,trey songz
868,wicked games,the weeknd
869,calling my phone,lil tjay
870,pillowtalk,zayn
871,high for this,the weeknd
872,no guidance (feat. drake),chris brown
873,feels (feat. khalid),watts
